"","x","y"
"1",7.95035,8.40839
"2",10.016,8.07773
"3",1.3798,9.63365
"4",8.79349,4.79387
"5",3.28549,2.06474
"6",4.00027,8.99028
"7",8.81348,0.857723
"8",8.66842,3.41123
"9",8.88074,7.97253
"10",7.60433,1.1473
"11",5.87029,9.0142
"12",2.10055,7.63253
"13",0.80218,9.10104
"14",2.98146,1.08836
"15",10.1202,5.56303
"16",8.87345,9.87258
"17",3.36659,5.92011
"18",3.66514,4.37889
"19",5.57135,3.31178
"20",10.4819,4.672
"21",11.2733,7.79815
"22",6.3895,1.85352
"23",2.04135,4.21345
"24",1.65221,5.12962
"25",10.0762,11.1745
"26",11.2111,4.13836
"27",9.47545,6.06356
"28",2.05184,2.02745
"29",5.15167,8.06919
"30",7.0584,6.48032
"31",6.50647,2.08759
"32",7.04325,8.59425
"33",4.7159,0.924308
"34",6.38914,5.00551
"35",7.73848,7.56615
"36",8.3603,7.37506
"37",7.51803,10.1183
"38",9.02858,9.21949
"39",7.43343,3.24472
"40",7.47981,9.87532
"41",0.820133,3.31762
"42",2.90375,0.896241
"43",1.89747,2.01189
"44",5.70937,3.63429
"45",1.88036,7.53019
"46",5.23616,6.53226
"47",11.1846,3.98912
"48",3.06661,6.81971
"49",10.9647,11.3955
"50",0.676887,2.2041
"51",5.63531,1.97258
"52",9.92014,5.76596
"53",2.95794,2.37494
"54",7.67607,2.46667
"55",4.26223,6.23844
"56",9.24488,2.4882
"57",9.99308,7.18036
"58",8.84489,7.75311
"59",0.788031,11.1122
"60",10.1097,11.3684
"61",10.4455,3.57974
"62",3.24707,7.03608
"63",3.34819,3.3202
"64",3.61847,2.09533
"65",3.98742,0.689104
"66",2.24561,8.17123
"67",1.70757,10.9465
"68",0.741597,10.0925
"69",0.983361,10.9733
"70",9.0841,5.71675
"71",10.2055,10.0223
"72",6.32359,7.64199
"73",1.0507,6.88738
"74",11.1332,6.64674
"75",2.08639,8.71835
"76",3.10175,1.29353
"77",3.91816,3.84931
"78",9.00554,5.40186
"79",1.68458,6.50435
"80",11.1842,0.879174
"81",1.95417,3.96764
"82",1.95541,0.783928
"83",0.56614,6.8705
"84",11.2864,3.47597
"85",8.45497,9.93877
"86",4.10131,3.09502
"87",1.93945,2.82811
"88",7.67261,3.46296
"89",10.9781,6.6877
"90",9.10898,7.76249
"91",8.15584,6.57582
"92",4.39455,9.15698
"93",7.44946,4.42997
"94",4.54957,5.32217
"95",6.7818,0.940568
"96",3.55642,10.0732
"97",6.81788,0.593919
"98",5.4602,7.53039
"99",4.19699,0.832664
"100",7.93064,0.751361
"101",9.60408,2.6617
