"","VAR1","VAR2"
"1",0.609507,0.299301
"2",0.801071,0.380642
"3",0.0911095,0.227116
"4",0.718508,0.624848
"5",0.252805,0.789089
"6",0.369793,0.311215
"7",0.712904,0.899016
"8",0.698998,0.718887
"9",0.671584,0.357656
"10",0.596334,0.851051
"11",0.489687,0.250396
"12",0.186981,0.348007
"13",0.098999,0.26302
"14",0.306389,0.885537
"15",0.811365,0.537798
"16",0.68147,0.20752
"17",0.282134,0.504011
"18",0.2856,0.613865
"19",0.476349,0.71133
"20",0.891905,0.589287
"21",0.855563,0.412249
"22",0.578316,0.77559
"23",0.220078,0.625845
"24",0.207051,0.546214
"25",0.823877,0.164456
"26",0.891905,0.589287
"27",0.758223,0.42955
"28",0.203066,0.788763
"29",0.450717,0.347379
"30",0.529527,0.489773
"31",0.578316,0.77559
"32",0.558577,0.278676
"33",0.40115,0.908572
"34",0.536057,0.537338
"35",0.659166,0.410382
"36",0.671584,0.357656
"37",0.584093,0.209198
"38",0.736538,0.300506
"39",0.587267,0.69286
"40",0.584093,0.209198
"41",0.137812,0.727156
"42",0.306389,0.885537
"43",0.203066,0.788763
"44",0.476349,0.71133
"45",0.186981,0.348007
"46",0.450432,0.499344
"47",0.891905,0.589287
"48",0.311313,0.440514
"49",0.884712,0.12311
"50",0.159192,0.827396
"51",0.450753,0.758251
"52",0.811365,0.537798
"53",0.252805,0.789089
"54",0.642733,0.762757
"55",0.390054,0.49515
"56",0.717506,0.778964
"57",0.801071,0.380642
"58",0.671584,0.357656
"59",0.0959974,0.0977378
"60",0.823877,0.164456
"61",0.847902,0.731103
"62",0.311313,0.440514
"63",0.320167,0.68785
"64",0.252805,0.789089
"65",0.40115,0.908572
"66",0.186981,0.348007
"67",0.199533,0.131371
"68",0.0911095,0.227116
"69",0.0959974,0.0977378
"70",0.698771,0.537618
"71",0.80956,0.176407
"72",0.560009,0.37781
"73",0.105829,0.467067
"74",0.887307,0.445544
"75",0.242101,0.286376
"76",0.306389,0.885537
"77",0.342391,0.615156
"78",0.698771,0.537618
"79",0.185049,0.42377
"80",0.893461,0.840645
"81",0.220078,0.625845
"82",0.244032,0.847259
"83",0.105829,0.467067
"84",0.847902,0.731103
"85",0.68147,0.20752
"86",0.343255,0.706885
"87",0.229341,0.668831
"88",0.587267,0.69286
"89",0.887307,0.445544
"90",0.671584,0.357656
"91",0.654198,0.44618
"92",0.369793,0.311215
"93",0.607317,0.595503
"94",0.375321,0.508506
"95",0.567348,0.836923
"96",0.279748,0.234417
"97",0.567348,0.836923
"98",0.450717,0.347379
"99",0.40115,0.908572
"100",0.596334,0.851051
"101",0.760153,0.781919
"102",0.489687,0.250396
"103",0.567348,0.836923
"104",0.642733,0.762757
"105",0.619243,0.561106
"106",0.311313,0.440514
"107",0.127847,0.542534
"108",0.607317,0.595503
"109",0.717506,0.778964
"110",0.369793,0.311215
"111",0.369793,0.311215
"112",0.584093,0.209198
"113",0.698771,0.537618
"114",0.220078,0.625845
"115",0.480594,0.101398
"116",0.137812,0.727156
"117",0.707732,0.13217
"118",0.229341,0.668831
"119",0.760153,0.781919
"120",0.203066,0.788763
"121",0.229341,0.668831
"122",0.770047,0.839973
"123",0.567348,0.836923
"124",0.159192,0.827396
"125",0.551933,0.630105
"126",0.551933,0.630105
"127",0.279748,0.234417
"128",0.154186,0.387331
"129",0.450432,0.499344
"130",0.801071,0.380642
"131",0.755393,0.727422
"132",0.770047,0.839973
"133",0.203066,0.788763
"134",0.750976,0.270966
"135",0.563885,0.739051
"136",0.891905,0.589287
"137",0.450432,0.499344
"138",0.881965,0.233565
"139",0.185049,0.42377
"140",0.127847,0.542534
"141",0.434662,0.222103
"142",0.320167,0.68785
"143",0.717506,0.778964
"144",0.279748,0.234417
"145",0.847902,0.731103
"146",0.551933,0.630105
"147",0.390054,0.49515
"148",0.127847,0.542534
"149",0.578316,0.77559
"150",0.139566,0.865449
"151",0.229341,0.668831
"152",0.154186,0.387331
"153",0.489687,0.250396
"154",0.434662,0.222103
"155",0.242101,0.286376
"156",0.126168,0.605633
"157",0.242101,0.286376
"158",0.659166,0.410382
"159",0.2856,0.613865
"160",0.199533,0.131371
"161",0.596334,0.851051
"162",0.607317,0.595503
"163",0.822807,0.631499
"164",0.244032,0.847259
"165",0.758223,0.42955
"166",0.563885,0.739051
"167",0.760153,0.781919
"168",0.847902,0.731103
"169",0.822807,0.631499
"170",0.137812,0.727156
"171",0.0959974,0.0977378
"172",0.563885,0.739051
"173",0.671584,0.357656
"174",0.207051,0.546214
"175",0.480594,0.101398
"176",0.578316,0.77559
"177",0.098999,0.26302
"178",0.596334,0.851051
"179",0.760153,0.781919
"180",0.2856,0.613865
"181",0.427769,0.856913
"182",0.229341,0.668831
"183",0.609507,0.299301
"184",0.343255,0.706885
