"","V1"
"1",0.988216
"2",0.983863
"3",0.98935
"4",0.96576
"5",0.972532
"6",0.992754
"7",0.969657
"8",0.973017
"9",0.977806
"10",0.967462
"11",0.927189
"12",0.993173
"13",0.982603
"14",0.968556
"15",0.977236
"16",0.999145
"17",0.998389
"18",0.96171
"19",0.995151
"20",0.918245
"21",0.970258
"22",0.994746
"23",0.997264
"24",0.989588
"25",0.930949
"26",0.914047
"27",0.850907
"28",0.971907
"29",0.974535
"30",0.979725
"31",0.995707
"32",0.997505
"33",0.970481
"34",0.992772
"35",0.995058
"36",0.966301
"37",0.996067
"38",0.975311
"39",0.99602
"40",0.998107
"41",0.986706
"42",0.965332
"43",0.987159
"44",0.994051
"45",0.990821
"46",0.998405
"47",0.942669
"48",0.98963
"49",0.808669
"50",0.996216
"51",0.98221
"52",0.977236
"53",0.982845
"54",0.989875
"55",0.952278
"56",0.968504
"57",0.881769
"58",0.981277
"59",0.965487
"60",0.942556
"61",0.88841
"62",0.996428
"63",0.985888
"64",0.807207
"65",0.982801
"66",0.966185
"67",0.927476
"68",0.987943
"69",0.970084
"70",0.935099
"71",0.942882
"72",0.962448
"73",0.994795
"74",0.918683
"75",0.964398
"76",0.968556
"77",0.877218
"78",0.96997
"79",0.991133
"80",0.902168
"81",0.99216
"82",0.99584
"83",0.988641
"84",0.958777
"85",0.995282
"86",0.981587
"87",0.953265
"88",0.999196
"89",0.926631
"90",0.981984
"91",0.999762
"92",0.995313
"93",0.969775
"94",0.967809
"95",0.995754
"96",0.999474
"97",0.995754
"98",0.987925
"99",0.986626
"100",0.983392
"101",0.931856
"102",0.907474
"103",0.995754
"104",0.984386
"105",0.978482
"106",0.993674
"107",0.992537
"108",0.949245
"109",0.994406
"110",0.990735
"111",0.995313
"112",0.994595
"113",0.95678
"114",0.984728
"115",0.991964
"116",0.981248
"117",0.964992
"118",0.944091
"119",0.986587
"120",0.987315
"121",0.977969
"122",0.998439
"123",0.996358
"124",0.917667
"125",0.989099
"126",0.995457
"127",0.998683
"128",0.998093
"129",0.998635
"130",0.991305
"131",0.986559
"132",0.998757
"133",0.97824
"134",0.977362
"135",0.998446
"136",0.929699
"137",0.999626
"138",0.917412
"139",0.987568
"140",0.990102
"141",0.989164
"142",0.977912
"143",0.99127
"144",0.99832
"145",0.940306
"146",0.999583
"147",0.933397
"148",0.990063
"149",0.998052
"150",0.959937
"151",0.963286
"152",0.998857
"153",0.981621
"154",0.979488
"155",0.948238
"156",0.994486
"157",0.950281
"158",0.994268
"159",0.957235
"160",0.962144
"161",0.993466
"162",0.984576
"163",0.959063
"164",0.994786
"165",0.953321
"166",0.996099
"167",0.990003
"168",0.958944
"169",0.989277
"170",0.989837
"171",0.819407
"172",0.997435
"173",0.841563
"174",0.989643
"175",0.975147
"176",0.998756
"177",0.996699
"178",0.976872
"179",0.995591
"180",0.985153
"181",0.9992
"182",0.978644
"183",0.997444
"184",0.989298
"185",0.988018
"186",0.90701
"187",0.978433
"188",0.995173
"189",0.998683
"190",0.947704
"191",0.808669
"192",0.831362
"193",0.985223
"194",0.941582
"195",0.921172
"196",0.955855
"197",0.990887
"198",0.987167
"199",0.996873
"200",0.922058
"201",0.990874
"202",0.760971
"203",0.974637
"204",0.964362
"205",0.996748
"206",0.993784
"207",0.972318
"208",0.982602
"209",0.98823
"210",0.998789
"211",0.840262
"212",0.9469
"213",0.982017
"214",0.878544
"215",0.970724
"216",0.988858
"217",0.996561
"218",0.985899
"219",0.973289
"220",0.998552
"221",0.958512
"222",0.989087
"223",0.926735
"224",0.963164
"225",0.983863
"226",0.981212
"227",0.99851
"228",0.992461
"229",0.995754
"230",0.98908
"231",0.98117
"232",0.973845
"233",0.978228
"234",0.843553
"235",0.747657
"236",0.993855
"237",0.945863
"238",0.964361
"239",0.974029
"240",0.999714
"241",0.989616
"242",0.893684
"243",0.969844
"244",0.950694
"245",0.989257
"246",0.925455
"247",0.965454
"248",0.995476
"249",0.998305
"250",0.996623
"251",0.984479
"252",0.975238
"253",0.973289
"254",0.899544
"255",0.870714
"256",0.981553
"257",0.9856
"258",0.998912
"259",0.950946
"260",0.945519
"261",0.96701
"262",0.958512
"263",0.999743
"264",0.995762
"265",0.995975
"266",0.980104
"267",0.996015
"268",0.90934
"269",0.992626
"270",0.997845
"271",0.943405
"272",0.964499
"273",0.997102
"274",0.950826
"275",0.996625
"276",0.930949
"277",0.993504
"278",0.998457
"279",0.984689
"280",0.976781
"281",0.96339
"282",0.793899
"283",0.977981
"284",0.981331
"285",0.987055
"286",0.944022
"287",0.974716
"288",0.998649
"289",0.992357
"290",0.950804
"291",0.979257
"292",0.998752
"293",0.927657
"294",0.940343
"295",0.814695
"296",0.979927
"297",0.99304
"298",0.991244
"299",0.962739
"300",0.956651
"301",0.99248
"302",0.954797
"303",0.988682
"304",0.963177
"305",0.967022
"306",0.993923
"307",0.998066
"308",0.979719
"309",0.996623
"310",0.772415
"311",0.934154
"312",0.992025
"313",0.9389
"314",0.932982
"315",0.943769
"316",0.987239
"317",0.958318
"318",0.81467
"319",0.978675
"320",0.978075
"321",0.994397
"322",0.978109
"323",0.989412
"324",0.984141
"325",0.995804
"326",0.98005
"327",0.958968
"328",0.974886
"329",0.979212
"330",0.975104
"331",0.927115
"332",0.961807
"333",0.915556
"334",0.990259
"335",0.932506
"336",0.989412
"337",0.976472
"338",0.944059
"339",0.958416
"340",0.977403
"341",0.964069
"342",0.990102
"343",0.987329
"344",0.956397
"345",0.976385
"346",0.997679
"347",0.968272
"348",0.983669
"349",0.990553
"350",0.984116
"351",0.998177
"352",0.998706
"353",0.973456
"354",0.845732
"355",0.99216
"356",0.992044
"357",0.996676
"358",0.94164
"359",0.9786
"360",0.979486
"361",0.981393
"362",0.926735
"363",0.991655
"364",0.987871
"365",0.974885
"366",0.982737
"367",0.906187
"368",0.941515
"369",0.991669
"370",0.99414
"371",0.988519
"372",0.99729
"373",0.997069
"374",0.988976
"375",0.999373
"376",0.836139
"377",0.985123
"378",0.988918
"379",0.991536
"380",0.998552
"381",0.989313
"382",0.988679
"383",0.9943
"384",0.998863
"385",0.98831
"386",0.984411
"387",0.964628
"388",0.988578
"389",0.695429
"390",0.96997
"391",0.950559
"392",0.887486
"393",0.975895
"394",0.9649
"395",0.997164
"396",0.988914
"397",0.962448
"398",0.877879
"399",0.777032
"400",0.970084
"401",0.975228
"402",0.944308
"403",0.992945
"404",0.994965
"405",0.979219
"406",0.986686
"407",0.894459
"408",0.989588
"409",0.977981
"410",0.992544
"411",0.99625
"412",0.935783
"413",0.999384
"414",0.979249
"415",0.96033
"416",0.991089
"417",0.887517
"418",0.944337
"419",0.992764
"420",0.971146
"421",0.931946
"422",0.953603
"423",0.980503
"424",0.972725
"425",0.910397
"426",0.977328
"427",0.996675
"428",0.988834
"429",0.992494
"430",0.995791
"431",0.677251
"432",0.982317
"433",0.992107
"434",0.955021
"435",0.980232
"436",0.930949
"437",0.98935
"438",0.996062
"439",0.900314
"440",0.99291
"441",0.982451
"442",0.959767
"443",0.983576
"444",0.996712
"445",0.863846
"446",0.855567
"447",0.996688
"448",0.922937
"449",0.979118
"450",0.996605
"451",0.997324
"452",0.980562
"453",0.981933
"454",0.9992
"455",0.999785
"456",0.966046
"457",0.992139
"458",0.999742
"459",0.989108
"460",0.985723
"461",0.933196
"462",0.987431
"463",0.997556
"464",0.887486
"465",0.876727
"466",0.914468
"467",0.882767
"468",0.995768
"469",0.968478
"470",0.991305
"471",0.98714
"472",0.911995
"473",0.937891
"474",0.981166
"475",0.983074
"476",0.999858
"477",0.998973
"478",0.814695
"479",0.999091
"480",0.991837
"481",0.993795
"482",0.989709
"483",0.907109
"484",0.99418
"485",0.922937
"486",0.984449
"487",0.959156
"488",0.999459
"489",0.998451
"490",0.982498
"491",0.90701
"492",0.998111
"493",0.980656
"494",0.991823
