"","V1"
"1",0.452988
"2",0.242653
"3",0.517282
"4",0.466407
"5",0.621186
"6",0.432104
"7",0.749593
"8",0.956804
"9",0.372655
"10",0.191687
"11",0.406419
"12",0.862515
"13",0.577272
"14",0.797541
"15",0.463286
"16",0.88542
"17",0.699438
"18",0.790678
"19",0.570427
"20",0.592272
"21",0.882978
"22",0.73219
"23",0.497123
"24",0.182023
"25",0.439804
"26",0.664633
"27",0.613438
"28",0.460171
"29",0.234836
"30",0.408646
"31",0.743088
"32",0.48513
"33",0.30245
"34",0.336547
"35",0.510436
"36",0.382149
"37",0.69699
"38",0.306743
"39",0.542489
"40",0.745526
"41",0.676941
"42",0.756424
"43",0.488696
"44",0.573714
"45",0.875443
"46",0.410305
"47",0.627432
"48",0.689556
"49",0.410104
"50",0.200808
"51",0.941933
"52",0.463286
"53",0.648767
"54",0.308129
"55",0.326283
"56",0.50812
"57",0.282527
"58",0.316648
"59",0.63284
"60",0.439225
"61",0.172741
"62",0.642313
"63",0.364078
"64",0.373947
"65",0.328631
"66",0.896495
"67",0.471095
"68",0.517879
"69",0.613644
"70",0.551546
"71",0.362636
"72",0.934721
"73",0.508039
"74",0.373243
"75",0.66467
"76",0.797541
"77",0.555599
"78",0.647623
"79",0.576004
"80",0.382359
"81",0.478265
"82",0.541811
"83",0.455611
"84",0.190075
"85",0.908263
"86",0.340905
"87",0.271758
"88",0.571744
"89",0.390287
"90",0.301166
"91",0.366512
"92",0.445541
"93",0.147772
"94",0.674895
"95",0.224648
"96",0.923983
"97",0.224648
"98",0.291361
"99",0.34022
"100",0.212338
"101",0.217011
"102",0.39912
"103",0.224648
"104",0.29407
"105",0.585645
"106",0.676742
"107",0.377965
"108",0.133799
"109",0.362324
"110",0.446187
"111",0.445541
"112",0.716692
"113",0.590437
"114",0.454037
"115",0.572331
"116",0.702859
"117",0.314434
"118",0.292909
"119",0.254989
"120",0.480334
"121",0.311109
"122",0.17133
"123",0.216968
"124",0.144068
"125",0.388031
"126",0.35977
"127",0.902058
"128",0.464272
"129",0.422382
"130",0.23543
"131",0.764305
"132",0.166605
"133",0.456652
"134",0.315357
"135",0.712409
"136",0.646774
"137",0.429031
"138",0.189942
"139",0.572901
"140",0.366202
"141",0.326241
"142",0.364735
"143",0.44879
"144",0.896476
"145",0.145211
"146",0.318007
"147",0.338467
"148",0.372082
"149",0.735412
"150",0.470276
"151",0.302628
"152",0.470465
"153",0.722738
"154",0.352008
"155",0.785256
"156",0.57534
"157",0.705739
"158",0.532572
"159",0.976257
"160",0.414727
"161",0.255305
"162",0.162188
"163",0.835095
"164",0.535861
"165",0.506481
"166",0.638944
"167",0.2497
"168",0.184118
"169",0.745007
"170",0.66964
"171",0.556729
"172",0.733507
"173",0.653554
"174",0.186694
"175",0.488213
"176",0.697131
"177",0.556562
"178",0.181996
"179",0.236435
"180",0.828935
"181",0.511443
"182",0.29218
"183",0.366764
"184",0.393739
"185",0.550683
"186",0.397559
"187",0.493022
"188",0.215454
"189",0.902058
"190",0.197127
"191",0.410104
"192",0.599126
"193",0.700864
"194",0.591556
"195",0.503962
"196",0.166716
"197",0.74897
"198",0.2908
"199",0.725408
"200",0.291113
"201",0.179403
"202",0.193561
"203",0.402778
"204",0.727554
"205",0.999723
"206",0.388761
"207",0.240282
"208",0.340998
"209",0.603928
"210",0.391985
"211",0.530741
"212",0.387264
"213",0.863336
"214",0.818186
"215",0.483998
"216",0.774924
"217",0.99987
"218",0.530076
"219",0.267279
"220",0.494495
"221",0.178235
"222",0.996311
"223",0.363349
"224",0.174457
"225",0.206219
"226",0.173769
"227",0.723179
"228",0.567497
"229",0.224648
"230",0.434861
"231",0.59091
"232",0.29661
"233",0.946268
"234",0.812392
"235",0.354386
"236",0.781666
"237",0.451629
"238",0.767382
"239",0.422675
"240",0.915294
"241",0.203916
"242",0.804103
"243",0.613974
"244",0.409129
"245",0.390119
"246",0.334594
"247",0.459614
"248",0.347717
"249",0.505961
"250",0.549537
"251",0.332818
"252",0.488623
"253",0.407374
"254",0.37238
"255",0.280395
"256",0.368234
"257",0.502506
"258",0.456511
"259",0.825065
"260",0.398054
"261",0.77037
"262",0.178235
"263",0.331069
"264",0.859284
"265",0.368386
"266",0.838292
"267",0.527285
"268",0.580323
"269",0.508527
"270",0.532029
"271",0.302151
"272",0.457317
"273",0.300613
"274",0.155551
"275",0.19172
"276",0.439804
"277",0.527933
"278",0.460826
"279",0.528136
"280",0.361395
"281",0.930703
"282",0.333135
"283",0.635025
"284",0.486575
"285",0.354584
"286",0.291385
"287",0.415944
"288",0.416652
"289",0.662003
"290",0.189701
"291",0.359634
"292",0.335515
"293",0.425882
"294",0.465377
"295",0.423197
"296",0.426818
"297",0.766718
"298",0.367529
"299",0.71107
"300",0.775363
"301",0.401894
"302",0.476472
"303",0.513391
"304",0.78293
"305",0.398437
"306",0.884906
"307",0.343868
"308",0.449751
"309",0.549537
"310",0.449698
"311",0.199914
"312",0.734852
"313",0.714402
"314",0.402307
"315",0.467551
"316",0.887456
"317",0.798136
"318",0.0865987
"319",0.614808
"320",0.257002
"321",0.704951
"322",0.442679
"323",0.474165
"324",0.794108
"325",0.193682
"326",0.517731
"327",0.299416
"328",0.38241
"329",0.596219
"330",0.289872
"331",0.40409
"332",0.482727
"333",0.831269
"334",0.421775
"335",0.707087
"336",0.474165
"337",0.720095
"338",0.419016
"339",0.697182
"340",0.949334
"341",0.602025
"342",0.366202
"343",0.269377
"344",0.167425
"345",0.752583
"346",0.555639
"347",0.659565
"348",0.715922
"349",0.37932
"350",0.412481
"351",0.344706
"352",0.628805
"353",0.261679
"354",0.813068
"355",0.478265
"356",0.402365
"357",0.628408
"358",0.663367
"359",0.341917
"360",0.480759
"361",0.332469
"362",0.363349
"363",0.656562
"364",0.982342
"365",0.878574
"366",0.832931
"367",0.587524
"368",0.623987
"369",0.525586
"370",0.433378
"371",0.663721
"372",0.883513
"373",0.733121
"374",0.992234
"375",0.177902
"376",0.876496
"377",0.620177
"378",0.311782
"379",0.510679
"380",0.494495
"381",0.467279
"382",0.328691
"383",0.493259
"384",0.500166
"385",0.344554
"386",0.509514
"387",0.416149
"388",0.548458
"389",0.741771
"390",0.647623
"391",0.537847
"392",0.817173
"393",0.217306
"394",0.747734
"395",0.555731
"396",0.177358
"397",0.934721
"398",0.166372
"399",0.481847
"400",0.613644
"401",0.347533
"402",0.114564
"403",0.573846
"404",0.4904
"405",0.29722
"406",0.898059
"407",0.439413
"408",0.182023
"409",0.635025
"410",0.72055
"411",0.468735
"412",0.201592
"413",0.16812
"414",0.255991
"415",0.772842
"416",0.919024
"417",0.209771
"418",0.725815
"419",0.539487
"420",0.754737
"421",0.198126
"422",0.469153
"423",0.832576
"424",0.887128
"425",0.765591
"426",0.310439
"427",0.713525
"428",0.254384
"429",0.532159
"430",0.37843
"431",0.77347
"432",0.846249
"433",0.983969
"434",0.204604
"435",0.438872
"436",0.439804
"437",0.517282
"438",0.558933
"439",0.963272
"440",0.322054
