"","VAR1","VAR2"
"1",0.883,0.360591
"2",0.529925,0.620893
"3",0.111736,0.0256625
"4",0.519309,0.554612
"5",0.12123,0.711698
"6",0.353638,0.584063
"7",0.646679,0.709798
"8",0.696322,0.732059
"9",0.930402,0.505636
"10",0.358574,1.08035
"11",0.659491,0.14618
"12",0.0874845,0.386513
"13",0.0238077,0.473618
"14",0.438648,0.819637
"15",0.855409,0.280293
"16",0.74571,0.29278
"17",0.447474,0.46809
"18",0.286789,0.511685
"19",0.421532,0.936302
"20",0.913186,0.776793
"21",0.777494,0.532465
"22",0.739734,0.826536
"23",0.397949,0.758487
"24",0.00480858,0.268102
"25",1.01632,0.201015
"26",0.913186,0.776793
"27",0.94429,0.657136
"28",0.0377625,0.649432
"29",0.249106,0.104776
"30",0.337136,0.720524
"31",0.739734,0.826536
"32",0.751546,0.126304
"33",0.488779,1.15474
"34",0.551076,0.835028
"35",0.838063,0.525708
"36",0.930402,0.505636
"37",0.714638,0.130789
"38",0.58572,0.584797
"39",0.389907,0.746596
"40",0.714638,0.130789
"41",0.310288,0.839258
"42",0.438648,0.819637
"43",0.0377625,0.649432
"44",0.421532,0.936302
"45",0.0874845,0.386513
"46",0.567457,0.72957
"47",0.913186,0.776793
"48",0.21997,0.617583
"49",0.85266,-0.0689191
"50",-0.12659,1.02517
"51",0.483377,0.860109
"52",0.855409,0.280293
"53",0.12123,0.711698
"54",0.86724,0.5982
"55",0.276679,0.262499
"56",0.456569,0.679871
"57",0.529925,0.620893
"58",0.930402,0.505636
"59",0.238211,-0.00542968
"60",1.01632,0.201015
"61",1.05304,0.98726
"62",0.21997,0.617583
"63",0.1722,0.47132
"64",0.12123,0.711698
"65",0.488779,1.15474
"66",0.0874845,0.386513
"67",-0.0247794,0.347491
"68",0.111736,0.0256625
"69",0.238211,-0.00542968
"70",0.809566,0.380109
"71",0.902484,-0.0244349
"72",0.550103,0.345437
"73",-0.00972178,0.270195
"74",0.60257,0.301382
"75",0.220097,0.478245
"76",0.438648,0.819637
"77",0.276847,0.516895
"78",0.809566,0.380109
"79",0.296029,0.631353
"80",1.084,0.762125
"81",0.397949,0.758487
"82",0.164165,1.03411
"83",-0.00972178,0.270195
"84",1.05304,0.98726
"85",0.74571,0.29278
"86",0.0827595,0.658777
"87",0.0600993,0.449538
"88",0.389907,0.746596
"89",0.60257,0.301382
"90",0.930402,0.505636
"91",0.57978,0.719531
"92",0.353638,0.584063
"93",0.818477,0.317289
"94",0.157648,0.538538
"95",0.284189,1.02829
"96",0.243656,0.156908
"97",0.284189,1.02829
"98",0.249106,0.104776
"99",0.488779,1.15474
"100",0.358574,1.08035
"101",0.564837,1.08143
"102",0.659491,0.14618
"103",0.284189,1.02829
"104",0.86724,0.5982
"105",0.723835,0.373205
"106",0.21997,0.617583
"107",-0.105423,0.437017
"108",0.818477,0.317289
"109",0.456569,0.679871
"110",0.353638,0.584063
"111",0.353638,0.584063
"112",0.714638,0.130789
"113",0.809566,0.380109
"114",0.397949,0.758487
"115",0.650406,-0.0125245
"116",0.310288,0.839258
"117",0.412239,0.0862455
"118",0.0600993,0.449538
"119",0.564837,1.08143
"120",0.0377625,0.649432
"121",0.0600993,0.449538
"122",0.543783,1.13364
"123",0.284189,1.02829
"124",-0.12659,1.02517
"125",0.259749,0.701944
"126",0.259749,0.701944
"127",0.243656,0.156908
"128",-0.0699592,0.271192
"129",0.567457,0.72957
"130",0.529925,0.620893
"131",0.823854,0.892007
"132",0.543783,1.13364
"133",0.0377625,0.649432
"134",0.565719,0.0346676
"135",0.685942,0.618262
"136",0.913186,0.776793
"137",0.567457,0.72957
"138",1.1621,0.180629
"139",0.296029,0.631353
"140",-0.105423,0.437017
"141",0.262967,0.501704
"142",0.1722,0.47132
"143",0.456569,0.679871
"144",0.243656,0.156908
"145",1.05304,0.98726
"146",0.259749,0.701944
"147",0.276679,0.262499
"148",-0.105423,0.437017
"149",0.739734,0.826536
"150",0.401045,0.71779
"151",0.0600993,0.449538
"152",-0.0699592,0.271192
"153",0.659491,0.14618
"154",0.262967,0.501704
"155",0.220097,0.478245
"156",-0.0414032,0.517648
"157",0.220097,0.478245
"158",0.838063,0.525708
"159",0.286789,0.511685
"160",-0.0247794,0.347491
"161",0.358574,1.08035
"162",0.818477,0.317289
